factor,t0_11b,t0_3b,opt_2.7b,opt_30b,opt_iml_30b,gpt-3.5-trubo,opt_iml_max_1.3b,gpt_j,opt_350m,7B,flan_t5_base,flan_t5_small,gpt_neox,opt_125m,flan_t5_xxl,text-davinci-003,opt_13b,65B,flan_t5_large,bloom_7b,text-davinci-002,flan_t5_xl,30B,opt_6.7b,GLM130B,13B,opt_1.3b
t0_11b,0.46803203272180477,0.6008030926584513,0.4376695444250074,0.603513930227998,0.2604256961580477,0.21980130684257307,0.26566366012284753,0.03976033226049274,0.5921175245862965,0.02715279232250642,0.5227407043593798,0.4431311196140754,0.38408027816230533,0.4480204011797626,0.3795388790346538,0.4158470243125866,0.3828097821973855,0.02910811685757396,0.3657845252527268,0.15581737283478997,0.3605684587967744,0.698292045927804,0.12024407130959684,0.49815462805780364,0.13501419016237645,0.03894422206002602,0.48122022888803506
t0_3b,0.46789572863312695,0.5758397723743968,0.3681900567564669,0.4993805555722117,0.212495437432224,0.27093779386586364,0.24489284063709382,0.036673714502381646,0.5278479199087373,0.02850067571807733,0.48284514083474334,0.42607797510281886,0.3531847059622943,0.44415930855950586,0.36638005641287014,0.45218341410672924,0.3249614885757787,0.0300396529271396,0.3389786257805212,0.13967010252241968,0.40343683080677245,0.6485809379285851,0.14365693407027688,0.508775987165557,0.16431938881526975,0.04214379016286219,0.4301744798872512
opt_2.7b,0.09206741819914493,0.0838152394251043,0.7245981189916738,0.6788814638240983,0.5462839457072541,0.137900419269957,0.21871040771147215,0.30674363152398626,0.5684845490049492,0.025928933284822576,0.11462444613298063,0.09717734811377975,0.3145827097464216,0.16070197734448244,0.13011171906018149,0.0881195701697442,0.2788031015787591,0.028044710023232194,0.12452135708712052,0.6973958780977538,0.101294531287357,0.12615560358522485,0.07267691031576103,0.4684730589123264,0.04306731142544938,0.03169948852922443,0.4050121011327754
opt_30b,0.09054047142300974,0.08036886860300539,0.8236319541544155,0.7765888788748754,0.689218673607306,0.09454875087096137,0.2618034645721163,0.42188417696234903,0.677107262408531,0.02429908460374561,0.0957909802775105,0.09760083985507821,0.34735468005362935,0.18144174932747142,0.13283579329804912,0.08483100503107387,0.3167693389482352,0.026875904452543127,0.12916144849820788,0.8090480742257948,0.08881145353544503,0.11000914298817907,0.05416614912875438,0.5137769305562093,0.03438780246219693,0.028477119249804093,0.47409033039368137
opt_iml_30b,0.11547438969329424,0.09262236580813073,0.674732136426667,0.6076107300697645,0.5893052262192162,0.12598344112066762,0.27608701719368933,0.2192040355504742,0.5313503330635265,0.02658381408737233,0.12041396583365147,0.1159348996283731,0.3373800457399418,0.23126728602933122,0.13746580996918636,0.09576006947221433,0.2810973639889129,0.027530551262298558,0.1317296700509621,0.584867334581682,0.11515156839562847,0.1262171355340395,0.06316819569096818,0.42065806790720134,0.043609375193150286,0.03327172808862949,0.503915433215493
gpt-3.5-trubo,0.20886076829517375,0.16631289405155184,0.22500034159023014,0.13372665082118584,0.10635189838535042,0.9920417832152686,0.3053353030579214,0.08469535069918104,0.25502942570430404,0.09022436038987988,0.24329147786319452,0.2012872736223884,0.16688279157033822,0.3023356641411893,0.1741803666492969,0.8438248127962176,0.1456717058510584,0.10575621906066274,0.18229954650254687,0.1214911288861164,0.7023339925397629,0.21925623914338405,0.2812726827167089,0.2716442547935398,0.29584066449006813,0.1393406402622359,0.3064377085218312
opt_iml_max_1.3b,0.11484393731907462,0.1104989338510932,0.4622452843561741,0.38234361328034616,0.3997961610844524,0.19037911071690394,0.23801880786300625,0.1499327185534018,0.3794412270246821,0.03401140057762969,0.1536695633487813,0.12021508145260217,0.16740787374469962,0.19977072047628897,0.13499183230098924,0.12272633855835419,0.17612303090215747,0.03458850408303096,0.15903707725184704,0.4110873403619047,0.1554140450906877,0.1258534774471427,0.11006838667010689,0.36879730786026577,0.07272560507389507,0.0454630059259011,0.4207503464490736
gpt_j,0.016254595929439244,0.014087798960753729,0.4413935166882318,0.2749465508240331,0.22554359395569978,0.026227319189397764,0.063976776858992,0.6649000918201311,0.16709348813610903,0.0465582651630086,0.01631938825547986,0.02106622319954192,0.03490420707511273,0.0458618454645439,0.021094728379070476,0.02224718687709263,0.023765773101960472,0.06583084807484103,0.02540266010288424,0.6182532607200816,0.035619627942552995,0.019858521833262838,0.05516309254616903,0.31517640513824136,0.03008000360626338,0.04771256155562941,0.13120752642429978
opt_350m,0.09692426359560033,0.08246064345423285,0.6296956093515886,0.50312863663651,0.48486915693934474,0.1647248881275695,0.212846460717394,0.1875293532353785,0.6924401334600265,0.03331171475151101,0.11811842608288056,0.09966002334467504,0.23087262611098935,0.18526537858060138,0.12820649308159793,0.09807255831405541,0.22577266644121258,0.03413801266690254,0.11892060285909328,0.6467893350043844,0.12229572865206265,0.10732188844835262,0.10702926952569622,0.40472843880263853,0.06417965893447511,0.04006673728070182,0.41804440219048183
7B,0.02165771311596824,0.026431071113674338,0.02729925857921414,0.024888530277898144,0.02050019766429002,0.03828417623115955,0.04919178415948097,0.03905900101515607,0.03347747445499369,0.7889549294809892,0.03776076029273385,0.029078239299298977,0.02647947322207416,0.06325968593276263,0.03883753880053701,0.030020165011626684,0.018407100717973565,0.7248117161978955,0.020491333493491904,0.029750750029649213,0.12317297422138768,0.03375698595310547,0.8837245001460484,0.04874940924017657,0.8832586634120723,0.7556047558082027,0.05804519416317459
flan_t5_base,0.4795941967393249,0.5740127235922805,0.3343403526170879,0.3267918180565889,0.18590945918153812,0.2635131131115937,0.269429591903382,0.03572954578321891,0.40231998133672076,0.02934902901437857,0.5032092937727796,0.43434825691893836,0.32243480181314677,0.43466422854537795,0.4350386717046818,0.48607568886617813,0.26614503026951575,0.031597606412774114,0.35194718671049585,0.1446625008654643,0.4450485759241316,0.6449426325672064,0.1420530587118391,0.44262317269048707,0.16619654247092827,0.04537355138462433,0.45732341602016696
flan_t5_small,0.5195494782697347,0.6254529832152552,0.3879399503153946,0.4946200072738335,0.2112203833008221,0.26447368143732625,0.2584271789489384,0.03586150083060764,0.5207585739282847,0.027165947465186815,0.5507192754974892,0.48813160482148643,0.36057822749912555,0.42104642339417675,0.3873187896885778,0.5150055710487095,0.3463080553473632,0.0294629887328559,0.3891518201349775,0.14468029305947383,0.4097774120160251,0.7404301296482076,0.12467143064013181,0.45759814744849264,0.1569465398479252,0.04033777241358499,0.44476124252880433
gpt_neox,0.049594840006695756,0.041414918550619385,0.9201792267563348,0.9085357168347847,0.7466625387636014,0.05158392141131824,0.1624148698466536,0.5450318266405656,0.7287659854526701,0.01654297242629463,0.04059020391750994,0.0592885928981509,0.8462500107621693,0.0825241802206964,0.150460135486754,0.041811987154977893,0.4763486068990413,0.017802024909815316,0.07291134038501818,0.9355919701940077,0.036419543930869984,0.06455977790006702,0.03175549692862367,0.5337726397480365,0.01952205293418116,0.018473372432462228,0.3396018447731621
opt_125m,0.10163387433084788,0.0979940603950615,0.43650620969308,0.3021063785302075,0.2853453177918389,0.14237692222667342,0.18741603689679673,0.1157174583574242,0.33793551024302565,0.050467047940675594,0.13489639798524572,0.10021426627730948,0.14416995593507628,0.1782760000123346,0.11655424378507542,0.1181112659406278,0.13538410577428533,0.054868608508406025,0.10654754155266584,0.41948018753627103,0.15715795075128358,0.10616838038955079,0.1501736445986568,0.322376421640476,0.09117305821929352,0.06773151791264366,0.3588687735882407
flan_t5_xxl,0.22776980482154877,0.37156224270926363,0.24415603853593548,0.20389868347825824,0.1415875843686515,0.20476103933993367,0.20138192355778045,0.029105327244453638,0.28941616887604527,0.044109617290265205,0.2971101571773983,0.24184503323891574,0.3119597697099539,0.2751993434616726,0.3271795374516626,0.34896329237741575,0.19706477481380966,0.05726005436542812,0.2774522039018773,0.11271361763825094,0.3292954378037884,0.44946616549009605,0.22997581667267844,0.2743297405529451,0.4480341290829909,0.0752290757839084,0.30695294715529464
text-davinci-003,0.31735913591107157,0.2888925905575036,0.3234935016527802,0.2165698376657591,0.14843184943701115,0.966148383816805,0.49072284857711157,0.09155057075588047,0.34697254989896503,0.09400887987636523,0.34233870319737625,0.3159407355508082,0.24387358202899267,0.37787613893024014,0.2967327930196192,0.9075049229957526,0.20168166252413589,0.10635360364167398,0.3384696196205142,0.17834459215150925,0.8445513128729667,0.3252059028313703,0.34485666412816046,0.3126698883000496,0.3736686805236487,0.15230406458688628,0.41523151799736385
opt_13b,0.11374185140755358,0.11332316325399808,0.8579345971028424,0.8520068925913291,0.7491363151325359,0.114928280020163,0.289208893175289,0.29676689205382467,0.7915091693167148,0.019121293782935804,0.11072678649737144,0.12544770752241138,0.5491763576637995,0.2661890056595396,0.17450593180839127,0.07666624063261186,0.49428724172586586,0.02127024044080097,0.16265478905513173,0.8044393317533584,0.07408595080850525,0.1696425591956352,0.0431165453445285,0.5388222040102636,0.02777208976632723,0.023342489820028595,0.5658738744779688
65B,0.022887899026962213,0.0245748533738993,0.027080443264922503,0.02701490202202571,0.022222516309643513,0.04041685407579623,0.049606742377536234,0.04807639677136036,0.03322307650555863,0.6802852858649037,0.03767980142515688,0.031223154873294717,0.029359528601974258,0.05845829628958235,0.03649649444542136,0.030029595061319032,0.019988749933139396,0.5968709496252732,0.019550221152969404,0.02563311264985009,0.0975990904128939,0.03536250205664666,0.7854571218083538,0.056945768034531725,0.8326858949299802,0.6752121136241943,0.05829761283182559
flan_t5_large,0.41052973440515694,0.491610176201318,0.29426900057801375,0.3531715944832628,0.17180403980828368,0.21594142292829172,0.24962267040430378,0.034951745201253215,0.3683222153265122,0.04632384015633631,0.47574800233905623,0.38593833067844396,0.33597612649499775,0.3726355520566772,0.37836470694416235,0.438305662653139,0.24242375498014687,0.04012070851618076,0.30798240880574546,0.11567927093248143,0.39118029734851445,0.5745018583457578,0.16989315212162284,0.36558069198378373,0.19331562830915963,0.05860822014907628,0.37786107174338895
bloom_7b,0.03142674584954349,0.02834335537899743,0.600019837009355,0.4158600874990441,0.3679874889568463,0.0685556755077951,0.10310554350299908,0.5058534118867634,0.31043681187731026,0.03861289181736241,0.04374398935494698,0.032942623523789925,0.0711402826905395,0.07450898268866621,0.03854219792109353,0.03958938496412999,0.06177081351722352,0.04588851842825443,0.0384863332656982,0.7952181639158508,0.05860632908728985,0.03524876343492348,0.06537654323624606,0.44483530520826337,0.035745831883706405,0.0407165259540622,0.1949343191767749
text-davinci-002,0.44818718886779035,0.5543444329485001,0.33846404606627,0.250251113721618,0.17458840797432815,0.7951625671353758,0.45428446550176577,0.08384439811144338,0.40611336786427465,0.12621667475244502,0.44662506643746475,0.47095632895234063,0.34567592450423007,0.4250425063649807,0.4723502051820798,0.8162396951314784,0.27157908308646667,0.1282828000460901,0.42001485116291487,0.1911200352221074,0.7498993825922886,0.49850092040056315,0.465015092707671,0.38998317225003265,0.5501860656088585,0.1886203068392426,0.4869373476161265
