factor,t0_11b,t0_3b,opt_2.7b,opt_30b,opt_iml_30b,gpt-3.5-trubo,opt_iml_max_1.3b,gpt_j,opt_350m,7B,flan_t5_base,flan_t5_small,gpt_neox,opt_125m,flan_t5_xxl,text-davinci-003,opt_13b,65B,flan_t5_large,bloom_7b,text-davinci-002,flan_t5_xl,30B,opt_6.7b,GLM130B,13B,opt_1.3b
t0_11b,0.9708670083448323,0.9709546181308453,0.9635707558534288,0.960153974198918,0.9158727029809229,0.9363405392382329,0.9585824736623081,0.6318691547845894,0.9785958341546751,0.4789353220754758,0.9682578794051295,0.9555982653262369,0.9654269881945814,0.9702071971439209,0.9587166261471406,0.9720305758153185,0.9534189718991612,0.51394638281096,0.9500021902446503,0.885806119543553,0.9706835753553673,0.9751626256652868,0.8900387673303107,0.9592614495039096,0.8774558118141798,0.642962743938498,0.9775937972271503
t0_3b,0.9649842458831224,0.9721019721019721,0.9521863903886375,0.9405396933486821,0.8967524360782788,0.9421988747831445,0.9517594349055023,0.5979754743799688,0.9676054282795855,0.4927714815355265,0.9676459620279845,0.9419178407942452,0.94223670628165,0.9677081137755295,0.9556939107500906,0.9663245618301799,0.938437342931725,0.5261929082153801,0.9358810145326999,0.8683409807005313,0.9735557825445466,0.9669082478071243,0.9053726132377817,0.9606930730526235,0.8857650880122789,0.6673206111408359,0.9742475585172214
opt_2.7b,0.7631743215717196,0.6835151236393104,0.9853855925706901,0.9786670171058107,0.9663140372779639,0.8116553869067173,0.9248910353286462,0.8761799943053639,0.9783056267385066,0.4613093282519658,0.7249107475304991,0.7833190967431062,0.8929079878222397,0.8863372538712574,0.8360711391462428,0.7891944280176095,0.8777679216768512,0.49955099984668283,0.8000689927064853,0.9644933964123793,0.8309404910528506,0.7875134152484833,0.8004139562389119,0.9635488534069256,0.660802286615415,0.5625424359901001,0.9532601791620123
opt_30b,0.7449670595738009,0.6469456469456468,0.9933686787619371,0.9926282622911836,0.9864671325345482,0.7786208797444754,0.9138684869021947,0.909566505072123,0.9873913019980436,0.41244980570823264,0.7071571790672914,0.7725516264842107,0.9245261604812166,0.8689624981759814,0.8454529241046095,0.76360177483773,0.902529846350071,0.4752176662289022,0.8351627565110711,0.9904502488772152,0.7831228280666483,0.7703763153201355,0.7421891466835288,0.9739395020293897,0.5771681502018581,0.5011754787035685,0.9553426182639666
opt_iml_30b,0.8058595586685474,0.7187282131102355,0.9796520583037437,0.9631629294550643,0.9614821300214559,0.836713847949803,0.9299793007658177,0.8443936421464512,0.970745442655555,0.46869983948635635,0.7857548194626847,0.7895055423145311,0.9021028908669357,0.9095448870729771,0.8118234241829746,0.8198896401143593,0.8728429290227043,0.4863239132902054,0.8419616172425161,0.9580124411585086,0.8639741448730213,0.8117612724354298,0.7832255135625923,0.9553047867654609,0.6737303478876512,0.5786489831433652,0.9587258351303294
gpt-3.5-trubo,0.8179237250507995,0.6906986907927155,0.8417024047694914,0.7021592604780984,0.6032800700658347,0.9968170888202857,0.8951458863310682,0.5192498219624354,0.869770527426491,0.5548346993036947,0.8473525944730872,0.8093526745682262,0.7622219088064605,0.8995415423886112,0.775152050174381,0.9845486029492424,0.7282145574656504,0.6221598873096217,0.7627146680317665,0.66124283279095,0.9735285565288856,0.8245115502414172,0.8809855880985589,0.8719139429966377,0.8870884894579126,0.7254042628025986,0.8955507150232362
opt_iml_max_1.3b,0.7708139087743695,0.6971033044137865,0.9589279223755116,0.9289653755590322,0.9392373457229096,0.8231482798400733,0.9286019058455413,0.7781254444602473,0.9529596443264485,0.5657011014712622,0.7827188588104533,0.8056279861144033,0.8504717204759874,0.9122773748004868,0.825929613299831,0.830997118580677,0.8136506581962422,0.5624509447578713,0.8074769407439013,0.9186354609480765,0.8857072119765904,0.8008554707459559,0.8579518218260929,0.9440994116004783,0.7807592829638057,0.6792932884527252,0.9535285534432171
gpt_j,0.2962824247468442,0.19454848106533504,0.970869746150645,0.9435566652795117,0.9471840754612291,0.5034956304619226,0.8286863642668886,0.9540574282147316,0.9192259675405743,0.7445276737411568,0.2997086974615064,0.47032181994728806,0.6746774864752393,0.7580593702316549,0.4486059092800666,0.4843043417949785,0.48291718684977114,0.790393952004439,0.5546296296296297,0.9709737827715356,0.6881883756415592,0.4369052573172424,0.7910597863781385,0.9671868497711195,0.6317034262727147,0.7538770980718545,0.9177070328755722
opt_350m,0.7602185579713671,0.6692229950656916,0.9790521588274398,0.9576935756711037,0.9464630251147105,0.8813874431851958,0.9197918186682231,0.8484848484848484,0.9867805935221664,0.5536477671309132,0.7439239911150023,0.7755295058665845,0.8802524982300264,0.8998059784576639,0.8171522609724856,0.8253643983981063,0.8291178234998461,0.5578038274667488,0.7910188022547573,0.9600337240786679,0.872923996519502,0.7563867676227226,0.8494846809453552,0.9542346958077295,0.7461020045289708,0.6399846512206063,0.9486032070301733
7B,0.3177598514677167,0.42991666399906103,0.43813288944375084,0.4198224441670134,0.25332116905150615,0.47664778001856656,0.7109809319547149,0.6133892463480478,0.5354418088500486,0.9496836219682662,0.616670401314596,0.49766851264978607,0.4573343150122176,0.7720904425024275,0.6260603732513845,0.4903966196101027,0.205741754430893,0.9337846922116586,0.21633748412774628,0.39831620730497136,0.873128674626802,0.5684560965459842,0.987889070286074,0.69938218252825,0.9754046757792076,0.9548107600542058,0.7560474620399715
flan_t5_base,0.9761584938657902,0.9809626152962805,0.9522695786385161,0.9355289011098995,0.8890837929381522,0.9500518866185201,0.958311604165679,0.575720223138798,0.9618093416984044,0.5004767247691441,0.9772726075527953,0.9759688574935339,0.963052513472084,0.9711225946469867,0.9702323572327839,0.9778388828310602,0.9466911086879797,0.5328465999778758,0.9664554328186813,0.8694142869935787,0.9760109989095909,0.9804253122415546,0.9036173138007869,0.9468649420292146,0.8944673588394253,0.6825171067810807,0.977006589863936
flan_t5_small,0.9845532996035659,0.9875594103861401,0.9666151959173839,0.9608329500405195,0.913759116893357,0.9484580677661694,0.9598363887246206,0.5954399106380183,0.9760661015835468,0.47425914974702676,0.9841179884793132,0.9849968241452569,0.973224259149747,0.9722687649210416,0.9729340517335786,0.9809229690956479,0.9636145607464354,0.514762248943207,0.9774295288783756,0.8926396828525747,0.9747081499003438,0.9916989727752591,0.8948244518912762,0.9634229143395316,0.8825755086843201,0.6559946996079462,0.9787601025034496
gpt_neox,0.7270481790235325,0.6749291879773939,0.9981743251043723,0.9978521471816143,0.991576389727894,0.735538909696213,0.8857543661820574,0.9747895775441988,0.9919522639711114,0.2557287261890379,0.6739962144094076,0.7656591894540427,0.9960935926865612,0.7822614205361578,0.9330272643067133,0.7082074825822561,0.9845153235874512,0.32260749332152017,0.8201911589008363,0.9949928181171385,0.670344864618152,0.7803350650396681,0.6404561502423047,0.9807632931953338,0.4092129461828628,0.3524693595371377,0.9353630542467077
opt_125m,0.7716842042684737,0.6952456615377964,0.9448254616793943,0.9013840923953284,0.8925099037458588,0.8426209662164719,0.9183974577233005,0.7798422966962293,0.9368213974955548,0.6099950819051942,0.8203436180964272,0.8048218947095351,0.8281693337873113,0.8997789559587313,0.8036329047565003,0.8309688646767298,0.7724570477379467,0.5965648999356865,0.759742961990153,0.9075857559003626,0.8990439439877643,0.8091130675400338,0.8819387021634212,0.939048051407602,0.8274667488150634,0.7086434165085851,0.9426204257664932
flan_t5_xxl,0.8943329969957644,0.9503132499900239,0.9071252258877316,0.882350258523877,0.8072728723798448,0.904200799229274,0.9163773593510395,0.5148416078075921,0.9279040468820368,0.6121457766832554,0.9313301295754737,0.9209264674864183,0.92665560743135,0.9275734099498913,0.9605002878821565,0.9311420085623564,0.8862779972522932,0.6162958402453553,0.8865744303638715,0.8019028725508639,0.9565269440596514,0.9578209886044272,0.9213711171537861,0.8893221372827346,0.9481356067472736,0.7249271743653766,0.9377889510258295
text-davinci-003,0.8902500346788738,0.8170169232903315,0.8893813288944376,0.8084685809404911,0.723689138576779,0.994742682757664,0.9327836731862951,0.5552382438618394,0.9018310445276736,0.571611874046331,0.9012068248023304,0.8815378346511304,0.8437127202108474,0.9271813011513387,0.8657234013039258,0.9893258426966293,0.805253849354973,0.6218182133444305,0.8701397558607296,0.7395165765015953,0.9843182133444306,0.8914221806075738,0.910899569981967,0.8949784990983494,0.9176550145651268,0.7527292273546955,0.9286412817311693
opt_13b,0.8288985782697001,0.7072378432432096,0.9955714560779126,0.9962733150725772,0.9909068887770883,0.8611312973211345,0.941633902895013,0.9119322240234533,0.9943602834765002,0.31759430065651767,0.7921193036068098,0.8448953733206626,0.9753417680635524,0.9131496077664114,0.9267892746007789,0.8185290774591463,0.9669877826845796,0.40714032832094216,0.8945472388370259,0.9854286619337768,0.8068334979285843,0.8527773119421619,0.7168278457897777,0.9686213129110999,0.5499593170228756,0.45661207073247995,0.969565406426047
65B,0.3344361215147732,0.36072617561381604,0.44396587598834786,0.427346025801082,0.2882334581772784,0.46334269662921357,0.7019923012900541,0.6141229712858925,0.5248959633791095,0.9371774864752394,0.6037973366625051,0.5220921764461091,0.47149916770703293,0.7444132334581773,0.5537401165210154,0.49024916770703286,0.21638576779026217,0.9124843945068665,0.21012796504369538,0.4177902621722846,0.8418695380774033,0.5737151477320017,0.9843008739076156,0.7166874739908449,0.9819444444444445,0.9397992093216812,0.737125468164794
flan_t5_large,0.9465331796792471,0.9363455936489645,0.9278092555246114,0.9158263708825508,0.873128674626802,0.9167707032875573,0.9493688444999306,0.5845684347557006,0.9441403373987644,0.5174888227322685,0.9608368812488662,0.9526553346778065,0.9384690077573973,0.9601513065932541,0.9443457430348816,0.958283982628552,0.9044943820224719,0.549665482249752,0.9330004161464835,0.8449054067031596,0.970640332063553,0.9585053938986523,0.9115261905524078,0.9344409232049682,0.8897691987579628,0.6803034668203207,0.9647022418557999
bloom_7b,0.4870203325655137,0.362287750640338,0.9812616858035437,0.9621892821766218,0.961298377028714,0.6913599784307175,0.8471804610434139,0.9417629371736034,0.9502558421691196,0.6504076477173486,0.45298130857554814,0.5478304701283021,0.7532368576837639,0.7976824743718239,0.5929354738501755,0.6252630221612656,0.6404142708937772,0.6814896871867911,0.62856874915745,0.9869294836852995,0.7750288664990358,0.5569622478943574,0.7952735137416258,0.9636545866962072,0.635807353484201,0.6680909426597035,0.9236048835669027
text-davinci-002,0.8776582690440369,0.8674964698685048,0.8753587929617892,0.8111246269798079,0.7420247482669455,0.9377878791112251,0.9247841907017936,0.5268396697859868,0.8992267500382357,0.6137787167749715,0.9055649810955678,0.8906317245892776,0.857274204964592,0.9266070545720982,0.8848483555100285,0.9467972726399692,0.8087273386898854,0.6471220091694498,0.8398992000739816,0.7611585944919278,0.972820655092815,0.8996891350199715,0.9361179579656485,0.9155364910670778,0.949457764688726,0.7808170698308027,0.9354759542025459
flan_t5_xl,0.9616639111021134,0.9645769364870488,0.9545388084713926,0.9454341982431871,0.9107646972815512,0.9241488679690926,0.9564114676474227,0.5877675428237227,0.9632160250137778,0.48364656791623084,0.9675602568860997,0.964683784908504,0.9664046068540451,0.962529945676013,0.9660784379885504,0.9606404156965955,0.9458390975244908,0.5158726141872209,0.9630360697776428,0.8696899146337349,0.9553795368402109,0.9782816524389558,0.8723217599622094,0.9337820967034451,0.8578747286612454,0.6520790453374723,0.9700205823801329
