factor,flan_t5_xxl,flan_t5_xl,gpt_neox,flan_t5_base,opt_1.3b,text-davinci-002,gpt-3.5-trubo,text-davinci-003,13B,bloom_7b,GLM130B,flan_t5_small,opt_30b,65B,opt_13b,opt_iml_30b,flan_t5_large,7B,gpt_j,opt_6.7b,t0_11b,t0_3b,opt_350m,opt_125m,30B,opt_iml_max_1.3b,opt_2.7b
flan_t5_xxl,0.9440422435881348,0.5929649722424533,0.2005716717555417,0.3772127781607762,0.18141349958240918,0.25834885295783233,0.26336293891583434,0.38226509553169635,0.1849490315008544,0.03449694405282913,0.5900367286907531,0.3877111508282086,0.1242256748100993,0.3190989920351351,0.31836518361444144,0.16230010961351046,0.6009555110215336,0.274495136406456,0.16382580760358212,0.13588083767815148,0.5603013599555525,0.2416191386117257,0.03167261279348176,0.2602553034034142,0.23560320228064202,0.5643745490533717,0.08771031107582676
flan_t5_xl,0.7366830677923116,0.8059754215074431,0.35758725731465396,0.44627225136599535,0.25257113093961125,0.21231635024437653,0.3056522393818179,0.3650514551486208,0.08710309475013549,0.024096986707862547,0.43227926530501737,0.5985835442263459,0.36773412925912347,0.24733113553676256,0.45391776006909695,0.22844697918343354,0.7521803244465691,0.19926337007617065,0.21525479472886844,0.3195960333488289,0.6620189552228442,0.3186197963634528,0.020857199037801116,0.3786438340253355,0.13611932764168594,0.7225353269693547,0.14672055102256434
gpt_neox,0.05572630663405667,0.145856589649779,0.9768396030691113,0.084860612777554,0.195816082222715,0.45789329250911337,0.03785734708190945,0.03387020419212469,0.028996935778680788,0.06763461033238728,0.06658861697381131,0.0932751986121522,0.788735100640397,0.08962881815784501,0.9830917874396137,0.616223976596776,0.09739757545361818,0.05652156379757709,0.22887382366063547,0.4871773613282507,0.10287178569223758,0.05289754794121666,0.21270336258716704,0.10337266367109164,0.07623177228470703,0.26767589571752054,0.9592563012180627
flan_t5_base,0.81282782796562,0.6970138132627953,0.19663003690303876,0.5047605639206525,0.23175671538165782,0.2185539167868039,0.37382798336723866,0.4640249660744365,0.12745929779576182,0.023567916054843006,0.5128071848286487,0.6259888862142252,0.34026989294726667,0.32259042883328254,0.289873457330119,0.2234200125079604,0.7620618495882339,0.2578201787260237,0.18959986951750726,0.24193513755747698,0.7602106768779773,0.32131262428125124,0.02223707030662721,0.41571832106875817,0.2120735566257579,0.7462696443259026,0.09592549802003401
opt_1.3b,0.02606182736207507,0.059898279650893754,0.2338975492982876,0.03624271660808578,0.6922550074653513,0.4702154438562072,0.28151163497106,0.3206457222948773,0.34011925701883156,0.29592720078885654,0.29714841896442673,0.026506295038901406,0.4169837991575341,0.12415120484345124,0.29795129739311477,0.3923338246735981,0.05138633985347921,0.3465634645160721,0.3552110309725182,0.7076801130026598,0.02816294476602078,0.03094395230442712,0.5886376040240743,0.6787754954523813,0.1036685523655324,0.41439775610380764,0.7060665359825794
text-davinci-002,0.09625424879986949,0.06185284432599846,0.16798494683911117,0.0377321619505748,0.21097338349328365,0.6026677144535622,0.11684068806679435,0.12742691048920374,0.41382321252264814,0.25277217943403174,0.4655730307505413,0.024434095707852013,0.03635466758913277,0.17346109571051518,0.21730113645411667,0.06961686217416083,0.04772757548078419,0.4170478669186025,0.21624330035294548,0.18460836763700333,0.028605003341253897,0.027154728830925904,0.1129465717339265,0.2708601174616367,0.15590590151808742,0.09479379641080178,0.1598447131393656
gpt-3.5-trubo,0.10524817745431306,0.12201671367193394,0.08825481788686708,0.0609560080503988,0.3154277338432017,0.2671397615040618,0.9451707024128201,0.6150341102561859,0.12886264892460844,0.055676143742742934,0.13110138943480193,0.05180760725481336,0.0849718668794607,0.09137091316605636,0.1109250355447165,0.0635036397187004,0.10144622115233193,0.09336599938068502,0.03999823981080914,0.15878353301310352,0.05717980469766816,0.05146296962508693,0.07956164082739159,0.36218830459781776,0.06448265925510126,0.31364525714945046,0.09345905676699702
text-davinci-003,0.0708980723098082,0.06233367780769262,0.034069819758104115,0.04541461170204762,0.19653695551825115,0.18815079648654784,0.5141739804039125,0.44978869518757986,0.13677465111011902,0.03998132052982062,0.11058601166682568,0.03630435068235405,0.03841973736333047,0.09325071229778505,0.05512005610143089,0.04496291727017362,0.055769881232474255,0.09451596807775721,0.03106956394432846,0.07969280572278327,0.04290260602971597,0.03684206841868586,0.06730986560754613,0.24937965823251465,0.07282175968757007,0.13253013642980319,0.053079309013390155
13B,0.14438175678670118,0.060438584529917745,0.04837552479479845,0.049009520803780085,0.2622016379735594,0.47441798579292566,0.061819248218437005,0.08554655911291163,0.49845882424827087,0.2486813014047231,0.5014899116418376,0.03608031192390751,0.04130432545483374,0.3318053034955344,0.06655120306523392,0.059010496188918696,0.05892600174894809,0.553920875879274,0.2306162701770125,0.23353408517778798,0.04651358938923379,0.04080829507482313,0.21465106168200562,0.2721171399611936,0.33893008781789213,0.09159841911876876,0.07654128319757227
bloom_7b,0.016136378543492088,0.03473788952415478,0.7165839373779758,0.02281662901697783,0.847680123675052,0.8271046257171722,0.0771140974684903,0.06606486409610356,0.6102422370243379,0.8864743866861098,0.7617904477824841,0.016534144183671818,0.6756914156025442,0.09107134672022736,0.869363019898903,0.7106210649082665,0.022424960622354793,0.43974544499829304,0.8943905549991263,0.9403791737366988,0.02199992570729788,0.01693072973319979,0.9033617720008555,0.35617007832150255,0.08388577683669601,0.29399160684895626,0.9566668066146528
