factor,flan_t5_xxl,flan_t5_xl,gpt_neox,flan_t5_base,opt_1.3b,text-davinci-002,gpt-3.5-trubo,text-davinci-003,13B,bloom_7b,GLM130B,flan_t5_small,opt_30b,65B,opt_13b,opt_iml_30b,flan_t5_large,7B,gpt_j,opt_6.7b,t0_11b,t0_3b,opt_350m,opt_125m,30B,opt_iml_max_1.3b,opt_2.7b
flan_t5_xxl,0.9973425213352782,0.9832461479134182,0.8936715121640427,0.9503818553728014,0.7476044967556963,0.9440755830524957,0.8039878946397735,0.7732843753667656,0.9153043944804923,0.40972117432054056,0.9842060258538303,0.9251022752041312,0.6761564642958939,0.9597144677497779,0.8951113290746608,0.8865164394815821,0.9728509632312258,0.953171369649414,0.8578416578642926,0.8277668796002884,0.9447609107523096,0.8916176248679643,0.33626955384538004,0.8868601512331707,0.9388234998239525,0.9452115084754287,0.8040088526734068
flan_t5_xl,0.9825548218798403,0.9928715705189171,0.9374156499370488,0.9694437651150785,0.8704971785186997,0.9298569785241344,0.8531742796844288,0.752207820439662,0.8264087026620653,0.3464353323732145,0.9742171861271886,0.9611536824180502,0.8965019066510874,0.937103158428666,0.9384935191978478,0.9262203019845473,0.9876271478130123,0.9294674963542656,0.9270671992608897,0.9328913163591569,0.967994529134172,0.9463284512196227,0.22371221796509155,0.9122895211180856,0.8823990290118928,0.9782795757361665,0.8447098357834478
gpt_neox,0.7056956483670431,0.9253786883810524,0.9995184309605114,0.8451317748008055,0.9584865598458979,0.9073636284038176,0.7825059101654845,0.6155327904736888,0.6240149724192278,0.6977169249627878,0.8191051571666229,0.6988442343052272,0.9934769284651082,0.7215327029156816,0.9993870939497417,0.9882453375361178,0.8195101129498292,0.7055643113562735,0.9745315646615882,0.9878184922511164,0.7071294107346117,0.7425356798879258,0.7873544348130636,0.8431945538919534,0.7206133438402942,0.9773005866386482,0.9995293757114089
flan_t5_base,0.9917593011753265,0.9871066177087,0.9122445215700081,0.978509632312258,0.8277752628137418,0.9366564391462535,0.8229591066847745,0.7893549955568968,0.8797763358650638,0.2908660697818688,0.9812216018644266,0.9732826987240749,0.9148726589876431,0.9639815233975487,0.9232265311939373,0.9289816072296833,0.9891856546451386,0.951398320004024,0.9081367469778516,0.9024403534362792,0.9818775883171538,0.9474372516473014,0.21882702077360294,0.9239013798769343,0.9363169190013916,0.9804964539007092,0.8006974833593212
opt_1.3b,0.35471862177658214,0.6602402108638352,0.7411573960852512,0.5359410523264767,0.9651277592094418,0.9228553571913807,0.8348142713513219,0.8143800440205429,0.8193436772551471,0.8013595645045878,0.8000461943968914,0.35078304031593344,0.9338378486091863,0.7801010842096683,0.8492930445730643,0.9081682562973833,0.6317219640770632,0.8459824461291812,0.8654112659982066,0.9671114009583073,0.3932184813818465,0.47249168953742204,0.8985217792994756,0.9265735532548933,0.6606206353088231,0.9292048223327264,0.9611921777487931
text-davinci-002,0.8051648835997917,0.7530352205793965,0.7375752961760896,0.6798025937946601,0.8123505763246116,0.9558774425344927,0.649624019981034,0.6764768735558493,0.9077212806026366,0.6634945439489255,0.8842075035728117,0.488867518799001,0.6519279827970776,0.8800937612693833,0.7551789077212807,0.7819315889997462,0.7258284248908122,0.9049231344579343,0.673037624714509,0.7811836358536682,0.5826354663354303,0.547862323195897,0.6385850329232947,0.7684817886765236,0.808283581092813,0.8121569098850022,0.7721080258043835
gpt-3.5-trubo,0.7692408720777516,0.8161815405831363,0.5754202784344629,0.6895459843708958,0.9071118991331758,0.9248259784607303,0.9940775216706068,0.9336583924349882,0.8098978854741267,0.5291486078276859,0.7277712109272393,0.5470637969529815,0.659660657998424,0.7799284213291304,0.6646801943787759,0.6719858156028369,0.7836838389808249,0.7836961518255845,0.45548085763068036,0.8119130877331231,0.596922609666404,0.5805054833201997,0.642673036511689,0.8792930785395325,0.6761968085106383,0.8980209154189651,0.6688337273443656
text-davinci-003,0.7037079864323158,0.6147557131599686,0.47277469421317714,0.6255524719909549,0.7400169596053037,0.8686016034535924,0.8149133175728921,0.8477489978415047,0.8234916229828347,0.5519901839860212,0.6995965669647446,0.5010278548668927,0.5392983177442012,0.7980907595847466,0.6861231027512249,0.6149355877616747,0.6581097748997842,0.7853539246925001,0.4270051735361633,0.6541054236475145,0.5974192277383766,0.5169895844040155,0.6391929626203448,0.6882302052283551,0.7008021550690376,0.7244877856579984,0.6377625312639188
13B,0.8106168948039187,0.6960277850742783,0.5385693021626827,0.6751889793654962,0.6970152448219167,0.9057048906011343,0.5824504567609374,0.617332593954606,0.9133078442245766,0.6103474107151543,0.8863594353481403,0.5110614949070426,0.5378591094377803,0.8994931364251039,0.6509670295459632,0.6879870414149374,0.6883032231075309,0.9081662434696319,0.6890912451721487,0.6820817402640361,0.6454581715942368,0.5926266429287181,0.5721721195847804,0.7578218486413916,0.851462705153275,0.7135539795114263,0.6474039050871201
bloom_7b,0.21884078425837708,0.6249838279053903,0.960422473918822,0.47277795420062807,0.994148642132129,0.9730837538077932,0.7618232713501052,0.7873810615950978,0.9486609505663174,0.9513278759864977,0.96201027957141,0.21226021194265082,0.9868388553685473,0.7234571821742352,0.9909377462568951,0.9750361666843089,0.43864601343165976,0.9353175023229009,0.9784470084565353,0.9973595380073627,0.1729002740434941,0.29780765204709314,0.9717605824306365,0.9312127306728768,0.6302294673206074,0.9598049939428155,0.9941074768003952
GLM130B,0.8988221143876239,0.7686584961221019,0.758917091783833,0.6756822612085769,0.8501565675417859,0.9592354112230931,0.6513417112521257,0.6694558500269585,0.958400729957281,0.7391284061216873,0.9573223839741197,0.48217359296586615,0.6079901289867695,0.9358124922234664,0.7924572809091286,0.8034040479449213,0.7079600597237776,0.954408776077309,0.7950779727095517,0.8482331715814359,0.5704450250922816,0.5061382771349177,0.7707115009746588,0.8782765127949899,0.9069719215295923,0.8095008502343329,0.7965036705238274
flan_t5_small,0.9972292127405374,0.9953650745231619,0.9327257937415795,0.9860698035028851,0.8111458518687985,0.9345390918257539,0.8132387706855794,0.76003033461281,0.8578636976028877,0.30309828245083337,0.9809052933052018,0.9927023225467518,0.9529474567223366,0.9617385630883686,0.9591838463950109,0.9453510934865317,0.9961361498767126,0.945503613886135,0.9425040460272672,0.9185710533228263,0.9958586474829897,0.9661849564045856,0.2140200140657702,0.9194607556538466,0.931950481710262,0.9895015124939627,0.8259826974080005
opt_30b,0.29985145331195706,0.6543436319665227,0.9422026575364801,0.511150059328098,0.9691403313315762,0.8561044536833239,0.7236261695787252,0.7014709745206198,0.6130947528599766,0.8219115422588155,0.6377634665724663,0.4168410278706194,0.983329257357137,0.6117677961649594,0.9933788031122341,0.9637962736519841,0.5305290617102795,0.6742842132913056,0.924388377127433,0.9864496435785259,0.36908190900609583,0.4728041810458049,0.912307636567847,0.7826281894513736,0.571768883091945,0.9274340371185565,0.995896850629059
65B,0.7380036215482119,0.6266116727864125,0.5094017738879667,0.6327146521804738,0.6707367167982832,0.874817665107389,0.5461537816675888,0.6239164696611506,0.8740254514360444,0.5774252636520631,0.8493662290629242,0.5461453984541355,0.5231502439515114,0.8667572053719631,0.6519205942021695,0.6259661653505022,0.6533080160287041,0.8754254480827591,0.6078018376003889,0.6138733799440002,0.6202488137752964,0.5788441225290478,0.5350082993813189,0.6864217091695589,0.8216597085995003,0.6491415589423737,0.572531562798652
opt_13b,0.4548673496191227,0.7458733911216181,0.9883530338849488,0.6053795639611242,0.9738639348568426,0.8007302337798791,0.803845547675335,0.7318518518518518,0.5923719464144996,0.8193853427895981,0.7033254531126872,0.4288783819280273,0.9901024428684003,0.4958287365379564,0.9997688468610455,0.9689676910953507,0.5560546361964802,0.5942999737325978,0.9517993170475441,0.99076963488311,0.3964118728657735,0.48027318098240085,0.927344365642238,0.81872865773575,0.5252219595482007,0.9441975308641977,0.9969845022327292
opt_iml_30b,0.44065656565656575,0.714212157031306,0.8858800773694391,0.6331533419299378,0.939837201805287,0.8741582491582491,0.7709273586933161,0.700153127014829,0.7160031162690738,0.6702709721326743,0.7076214270363206,0.5196781646249732,0.954294720252167,0.728978615946701,0.9072327888817251,0.9439026792750197,0.6587909234185829,0.7763539651837524,0.8782282040260763,0.9629047567877355,0.5205199154667239,0.6137572533849129,0.7835580987176732,0.8543591947847267,0.6946280177663156,0.9085894405043342,0.9623361272297443
flan_t5_large,0.9901539157990041,0.9842772831681841,0.9011325721375517,0.9685168418758279,0.8209052193886961,0.9351265026910115,0.8193417500796405,0.7684095367436246,0.8549368744026961,0.29438492362892543,0.9741922773837668,0.9512620927854065,0.8922547490904212,0.9519055044179534,0.9249870060191472,0.9158954110289556,0.9870856596750667,0.9426965444394144,0.8907541538822661,0.9079104002146102,0.9688291165769662,0.9214933018124508,0.23119435642070316,0.9192528880170348,0.9123157788843619,0.9811419613366195,0.7937352245862884
7B,0.7548543044598507,0.6517385183414349,0.5214890960767126,0.6172736207400323,0.785131174684127,0.934421512116946,0.5998840102354327,0.6170124224152433,0.94367855783108,0.7443709547462835,0.9160048166741928,0.41491132538227926,0.5278906685791696,0.922220451386122,0.6961289522848212,0.6859953427010563,0.5988303627557752,0.938481153876803,0.757284777007464,0.7402891775351732,0.5511019027633897,0.4914025907332147,0.7041596939995218,0.7836038285476488,0.8959678061996972,0.70528417492319,0.6649312472884071
gpt_j,0.16399614744768407,0.6372690657560633,0.9113183317281031,0.44653124361556207,0.9783731722266003,0.9375273618772437,0.8093132533636868,0.8219070133963751,0.8817675043049352,0.9582713130782478,0.9042188366459447,0.20640340892507955,0.9811604354551556,0.6170358695969412,0.958395353588419,0.9737836733502612,0.4642033680646762,0.8771707089279981,0.9681215888859703,0.9830502291101187,0.15297113504363308,0.3073723842045355,0.9406575606339199,0.880592767708607,0.5598896769109535,0.9483918512681317,0.9947830020722062
opt_6.7b,0.3720159458582487,0.6283502526306032,0.8192879988874983,0.5571455059565197,0.9366847448199137,0.8908867565938906,0.7309321837482037,0.7521716961016085,0.7777731423538682,0.7218699300050989,0.7123719464144996,0.44501460158531503,0.9133685625550456,0.7378111528299263,0.8397765725675614,0.8936772817874195,0.5855189357066704,0.7826310666110415,0.8194873221156075,0.9496963797339267,0.4357576600380104,0.5076299077550642,0.8166179947156167,0.7805868446669448,0.6608492096602234,0.8823992954155658,0.9653084874611783
t0_11b,0.9809701054608253,0.9201247422161865,0.8462602484784468,0.9522345455459987,0.7402754723940781,0.9113852421910368,0.6810313029190349,0.6133284710695304,0.8634835605184179,0.3732604832084235,0.9537456197709706,0.9642036785540634,0.8282153815200443,0.9451528259812552,0.8981188069010613,0.8964715054574719,0.9455803698673776,0.9149564911221769,0.8780200526465805,0.8202680951662391,0.9804084301594487,0.9439582180641484,0.2527329275858022,0.8545302885502072,0.9271834079439331,0.9132672736113208,0.800240598226112
t0_3b,0.9887644643523703,0.9543901123968312,0.8496578325245738,0.9621127286300859,0.7671726597818423,0.9330595993529924,0.7081788395338228,0.6343328771100327,0.8769856082286093,0.35531500145161954,0.9781966737173904,0.9538758243125544,0.8591721620836962,0.9657293351582266,0.8982663514578407,0.9045456430674795,0.9662519182116047,0.9480734934262369,0.8938658703496329,0.8514910206959478,0.9777508191281986,0.9533221351250466,0.21476089751565675,0.9106611090373689,0.9440836132885405,0.9480361660652814,0.7946995147443077
opt_350m,0.5717764675724173,0.7861232162693327,0.8708522031387963,0.6250676464724144,0.9739240650545444,0.9235096414024894,0.9195457954750446,0.9050528354552964,0.8159778594282567,0.8641516420291093,0.8290941543953592,0.33741111016168696,0.9191707729262203,0.7522145318864109,0.9724904345514446,0.9466945797373892,0.6719454650754317,0.8306701985245948,0.9258309835085021,0.9683461980308943,0.28197185906747557,0.48221728521651613,0.9818944809972752,0.9600482307480513,0.643980176023242,0.96645684392416,0.9837600994996534
