factor,gpt-3.5-trubo,flan_t5_small,gpt_neox,bloom_7b,opt_iml_30b,opt_6.7b,65B,t0_3b,flan_t5_large,opt_iml_max_1.3b,opt_125m,text-davinci-003,30B,flan_t5_xxl,gpt_j,7B,13B,GLM130B,text-davinci-002,opt_350m,opt_2.7b,opt_1.3b,flan_t5_xl,flan_t5_base,t0_11b,opt_30b,opt_13b
gpt-3.5-trubo,0.9877318592468359,0.2953807947261498,0.19558387733190533,0.3167873492227505,0.264870399038804,0.3964655332478818,0.7040562980980525,0.3136065103241157,0.23823884933780795,0.6645749651403987,0.7530711314825378,0.9470953036708754,0.5623117220313972,0.3324285504176069,0.23952579014070446,0.37146051744931485,0.6766726450501529,0.6430504809434445,0.7146871542170157,0.3752532987150668,0.20704673087344436,0.5430306184779805,0.2913235145579181,0.3204662728733061,0.3641680626950298,0.08792668720712545,0.1081185901527051
flan_t5_small,0.9537152712173368,1.0,0.72853420053186,0.9767345079783449,1.0,1.0,0.7493361730401161,1.0,1.0,0.9997087378640777,0.9959237390495491,0.860019642300068,0.4281010527823167,1.0,0.17637743404246445,0.06728687311528538,0.7361998939099379,0.8218629680898347,0.7639350483899078,0.9793583947943962,0.7811033572761874,0.9987266421956724,1.0,1.0,1.0,0.14714228247311242,0.05446947710508884
gpt_neox,0.17739916257757257,0.4044999667972357,0.9851583647999018,0.9987479179201433,0.9497222270611749,0.9657141514607914,0.10884412238892735,0.5801063816513794,0.37140705255213563,0.7013246519396382,0.46481837359739,0.15715174919167832,0.029820845956999846,0.4936158454337077,0.8362690570612602,0.01576570121668782,0.0859882586383412,0.13604273229883465,0.14221317879393128,0.9661759270476409,0.9729107333910754,0.8706028688992306,0.4699216922813943,0.4091659488979051,0.41309376935475334,0.6256924558763709,0.29246227954240506
bloom_7b,0.1514373936038768,0.20559133798681756,0.3924821269203805,0.9909865968500379,0.8327170962783325,0.8942920776623273,0.1486084664674896,0.23692114550582197,0.15758780193823554,0.7918532442341889,0.6930437126647568,0.1475112628851758,0.06479230238418272,0.23593629116259782,0.7252204536582406,0.04381851186010435,0.13481454719160613,0.10434982179532865,0.12097647847949797,0.8137392601073044,0.8424339274495832,0.8980792427458217,0.22640749217294007,0.21083161091259278,0.23326294761048966,0.27678325782709273,0.10024573795267737
opt_iml_30b,0.2009460917833,0.3337132594886752,0.4300056682439441,0.9463585044486003,0.8554269009901303,0.9149470065941224,0.13986647368639862,0.329687031642081,0.26996497797624563,0.777100595653384,0.6790394731534241,0.1769409503812419,0.05774911871815594,0.34954739223003084,0.714548716942988,0.03161993603514027,0.12236737301482152,0.13326095202200564,0.16582486509329616,0.7489693774060414,0.7937147886193621,0.912561699144835,0.33222430565191063,0.33056185499620766,0.3313673841501021,0.23121143708559888,0.088508840983037
opt_6.7b,0.18777774161191677,0.2211381618688658,0.18933937232822146,0.76619351015761,0.6777044313438905,0.8387532447075059,0.12229008478809794,0.2020675308894749,0.2024433938780279,0.6792467644927724,0.611782583200281,0.1316462250265457,0.06518739252254763,0.21636305174815315,0.5711166019676615,0.04175231843800285,0.10385029520471298,0.10263023919512615,0.11660676037302874,0.5156855929407913,0.6100796610085283,0.8348407964300841,0.2198568528399621,0.2172098574246309,0.22949754543930512,0.11656467462292579,0.048236013065923865
65B,0.18800735114612793,0.06932037983699224,0.03703026294275747,0.05574349298020817,0.06830126623752907,0.08372067921486419,0.8308604643789599,0.08858619343541517,0.15111545560378323,0.21670280645045062,0.24932505166484986,0.09206735572557995,0.7759439273785734,0.10149752131245816,0.028175767429692834,0.6197054445985286,0.8480515733970353,0.8428567817067374,0.2301513085506592,0.08770733179559884,0.03215846346005877,0.11849627336377096,0.07235480279601147,0.07065259897352989,0.1111747072420729,0.02121164431088577,0.03438931674523868
t0_3b,0.9078171760214981,0.9629692444187923,0.7022597095724642,0.9419393497948256,0.9551645205880237,0.9488858108705778,0.7651703170745773,0.9876050726898993,0.9589839566670616,0.9710784993113333,0.9647682174863133,0.8262127871690284,0.4338246370425282,0.9770517777425178,0.17253868690396343,0.0710508775905093,0.7614112485509622,0.8312872251906795,0.770930362357873,0.9506868006148391,0.7198790537281374,0.9562831239222144,0.9631786275262247,0.9640171870667009,0.9979643145378998,0.13042119388483295,0.060204315132343526
flan_t5_large,0.9190871059092701,0.9804744749362914,0.6760259674698249,0.9620477934283712,0.983713920350749,0.9839677769590817,0.7466246684143253,0.9903467085095047,0.9807619621321063,0.9828435352574344,0.977882309886401,0.8320373530049379,0.4054661104703873,0.9920992179863148,0.16817864784874065,0.06805666277468517,0.7374534113571966,0.8176854145038852,0.7592954083776333,0.9662151202800431,0.7336767941141167,0.9818047673562372,0.9827893576822722,0.9804567361337072,0.9833520628078818,0.10287504482796903,0.06496371849570609
opt_iml_max_1.3b,0.44353849793035305,0.4925394695163893,0.3766956841258324,0.800551720696509,0.7755165105870903,0.8786067194342257,0.3871497799582839,0.494672337837724,0.46921208950486637,0.8669239150040791,0.8324537038995,0.41210042242146067,0.17514741967643271,0.5066709800217496,0.3938858882973634,0.07832009599438523,0.367265180913619,0.39069975033638665,0.4610615425158757,0.7232199829625208,0.6040419564684328,0.8755701375621542,0.4996961745084939,0.5010578726279504,0.5291080706368942,0.141381870076393,0.07535584700848785
