factor,gpt-3.5-trubo,flan_t5_small,gpt_neox,bloom_7b,opt_iml_30b,opt_6.7b,65B,t0_3b,flan_t5_large,opt_iml_max_1.3b,opt_125m,text-davinci-003,30B,flan_t5_xxl,gpt_j,7B,13B,GLM130B,text-davinci-002,opt_350m,opt_2.7b,opt_1.3b,flan_t5_xl,flan_t5_base,t0_11b,opt_30b,opt_13b
gpt-3.5-trubo,0.9981553189200818,0.661458535011294,0.7249618156394536,0.7312993438743681,0.6817833709798861,0.8606012692266322,0.9554910186081531,0.7289657954178768,0.5008701731741422,0.9451048725395289,0.9651855437237818,0.9924136818328493,0.9403151554264817,0.7098004732709476,0.7340217274389588,0.899484780036571,0.95675916962461,0.948865225341508,0.9737619662256642,0.7635231795202754,0.7629859094331504,0.9179929009357857,0.6349876304184146,0.7378342476067549,0.8071377863827041,0.42708346778530715,0.6219420243089169
flan_t5_small,0.9992707324943529,1.0,0.993672152307196,0.9996869958050985,1.0,1.0,0.9909809616005163,1.0,1.0,0.9999903194578896,0.9998676992578251,0.9983220393675379,0.9545014520813165,1.0,0.9222039367537914,0.7958276863504355,0.9921329461116489,0.9977412068409164,0.9933301064859632,0.9995353339787029,0.9958083252662148,0.9999580509841884,1.0,1.0,1.0,0.7936915133914165,0.6874007744433689
gpt_neox,0.6347577559581432,0.8861937030378463,0.9996657908080947,0.9999723413082562,0.9984603328262573,0.9981883556907759,0.5770064075969206,0.9484672474991933,0.48695431706080305,0.9734061678882588,0.8771124325819388,0.6970820080210206,0.44303231457152076,0.9432397547595999,0.9926059097404692,0.33776333379431156,0.5885953994376066,0.5143179827594155,0.5514175079518739,0.9992854837966165,0.9993776794357627,0.988512423362375,0.935900981883557,0.7362882035679713,0.7985801871571475,0.9859009818835569,0.9401258470474347
bloom_7b,0.7190328584326647,0.6738830707852972,0.9280869358313696,0.999696871913716,0.9926075860248174,0.9959615516246688,0.7808709880345892,0.787754929090844,0.4105478795701448,0.9906584398355938,0.977884687468424,0.7401279656845969,0.7086678335468268,0.7231984250377281,0.9758605741180766,0.6364972734769443,0.7570281713553736,0.6843263222740473,0.7594629743710091,0.9881421507752582,0.9922816418460174,0.9949348274614489,0.7428756751118804,0.6237935991082167,0.7622237215654446,0.9294510122196473,0.8284898028363662
opt_iml_30b,0.7803828955813468,0.6963607544440071,0.8909609267789327,0.9977447528270375,0.992475417451216,0.9962873525313022,0.7166260651255811,0.7273757220514239,0.47028640929899396,0.9887237641351871,0.9716675708931275,0.7783865053952179,0.6921445769461259,0.7501249960107655,0.9789581183579248,0.5747653443684422,0.6994812222304964,0.6489792878950673,0.8191653457868366,0.9798127010130883,0.9874259332148974,0.9961667890031878,0.727622168086834,0.6394441312156705,0.7407884145541455,0.9068221226982118,0.8296738756564506
opt_6.7b,0.7844465956760244,0.5392967046805028,0.7339543046930953,0.9854162239589481,0.9719421685988399,0.9945812575260312,0.7961065331853705,0.576311005123604,0.5221216127940563,0.9840192351584697,0.972815778496604,0.7506512722436035,0.7723026310611606,0.5519640481980812,0.9408975357904595,0.7050346689333301,0.7825026168945135,0.7406598509353922,0.8138463233615879,0.9486970619948213,0.9581965858380752,0.9919171408558228,0.5564776993365286,0.506990846771972,0.6623222282561645,0.7974720405480917,0.720088698950881
65B,0.8527414757448639,0.4487603528019792,0.5430784123910939,0.42162122189953744,0.3881426804345488,0.6070405776056792,0.9828170377541142,0.6161564214262665,0.7762500672259869,0.8572019199741853,0.8763983005270516,0.68241603474239,0.9850892761105732,0.6281663439819297,0.47753643648488764,0.9614795095191997,0.9906219748305906,0.9902791222975154,0.9237959825750243,0.592254221791976,0.5211257663762504,0.7815928525330751,0.523169436377326,0.48432794180918576,0.7316136925890072,0.297595998709261,0.386638498978165
t0_3b,0.9944691836076154,0.9924330429170699,0.9853017102291062,0.9954243304291707,0.9859051306873184,0.9903872216844144,0.9923071958696354,0.9993804453049371,0.9806324620845434,0.9962762181348822,0.9973152629880607,0.9946853823814134,0.9541787673443046,0.9981155211358502,0.9013036463375281,0.8050758309131978,0.9917424975798644,0.9975475959987092,0.9928525330751855,0.9924136818328493,0.9771539206195546,0.9904678928686674,0.99378186511778,0.993678606001936,0.9999322362052275,0.798076798967409,0.6814488544691837
flan_t5_large,0.993000968054211,0.9934624072281381,0.9908841561794126,0.9950048402710552,0.9945563084866086,0.9956114875766375,0.991377863827041,0.9990448531784446,0.9956598902871895,0.996918360761536,0.9972636334301387,0.9926266537592772,0.9554436915133914,0.9991932881574702,0.9164181994191676,0.7990432397547597,0.9914649887060342,0.9974830590513069,0.9868586640851889,0.9989480477573411,0.992245885769603,0.9941239109390125,0.9974733785091966,0.9894159406260085,0.9975379154565989,0.7819893514036786,0.6987350758309131
opt_iml_max_1.3b,0.9171923031198519,0.6975255175693348,0.811766104515888,0.9787741376674989,0.973159423243491,0.9945754997367571,0.9307382687114689,0.7572425740051969,0.663083167745113,0.9946807968614663,0.9877957235780642,0.8828858205533194,0.9069479118900835,0.7444812418267353,0.9279292131587439,0.8202713948472342,0.934708989317437,0.9241656901207521,0.9351947147636759,0.968774307501571,0.9545150388070855,0.9936991559246616,0.7211579287036565,0.7019870586437051,0.8357568655423652,0.8108286204378323,0.7707766512117661
